ID,Nombre,Apellido,Mail,Ingreso,Compras mensuales un pago,Compras mensuales cuotas,Pagos crédito,Ahorro,Frecuencia de compras un pago,Frecuencia de compras cuotas
43,Kelsey,Quarterman,kquarterman16@last.fm,4559.24,4989.73,1543.67,373.74,1420.37,0.4029,0.9958
44,Elwyn,Village,evillage17@amazonaws.com,695.99,4498.99,3393.92,420.54,343.18,0.057,0.0233
45,Padget,Karolewski,pkarolewski18@unblog.fr,925.02,4537.23,3277.21,709.86,1666.13,0.8089,0.6403
46,Cassi,Dowderswell,cdowderswell19@multiply.com,5316.68,466.08,3678.2,199.0,1587.0,0.2127,0.0484
47,Dillie,Swayton,dswayton1a@cargocollective.com,5432.91,3259.73,,,1437.22,0.1777,
48,Martino,Spearing,mspearing1b@gizmodo.com,2791.16,98.1,3873.58,1931.78,1040.39,0.5862,0.5458
49,Jennette,Punyer,jpunyer1c@yolasite.com,7529.7,3319.32,1666.66,1361.62,1019.11,0.864,0.7851
50,Ivor,Blinckhorne,iblinckhorne1d@wix.com,10398.16,269.2,1713.65,533.19,403.31,0.875,0.1782
51,Willdon,Waldram,wwaldram1e@t.co,6939.57,841.98,1999.21,2137.07,375.1,0.3406,0.7706
52,Derron,Derkes,dderkes1f@google.es,11161.12,2793.45,1009.87,1164.49,1800.2,0.4123,0.9552
53,Creight,Allans,callans1g@cbslocal.com,4734.04,1827.48,1564.41,2006.21,134.71,0.149,0.3152
54,Brett,Fowle,bfowle1h@java.com,653.79,4373.53,1654.97,1175.23,1938.73,0.7279,0.3315
55,Dee,Martynikhin,dmartynikhin1i@nationalgeographic.com,9485.3,624.37,3129.74,1675.01,1136.91,0.4032,0.5003
56,Gustavus,Treend,gtreend1j@amazon.com,4628.68,566.62,1816.53,1399.82,959.27,0.1806,0.9035
57,Blondell,Zambon,bzambon1k@adobe.com,1706.98,4543.76,2430.29,,1209.47,0.7167,
58,Nicky,Godball,ngodball1l@t-online.de,,1336.52,3238.41,1103.08,1085.39,0.6639,0.3753
59,Giffie,Henderson,ghenderson1m@topsy.com,3746.11,1687.68,3994.23,25.94,1764.65,,0.0453
60,Herb,Aleavy,haleavy1n@theglobeandmail.com,10795.88,3867.45,3776.29,2712.25,61.43,0.9649,0.6238
61,Karney,Binny,kbinny1o@sogou.com,9518.93,2856.33,2397.67,1107.46,684.14,,0.8327
62,Aristotle,Fonquernie,afonquernie1p@digg.com,10549.04,4514.53,723.89,683.65,1696.05,0.1166,0.8118
63,Prudy,Rodrigo,prodrigo1q@vimeo.com,2579.45,2001.34,3915.4,1005.48,664.98,0.4834,0.609
64,Ardeen,Mantrip,amantrip1r@businesswire.com,4105.1,1851.72,3457.4,1715.93,163.82,0.2604,0.5974
65,Bobby,Hallard,bhallard1s@technorati.com,4984.57,4228.17,1861.81,851.86,425.82,0.2553,0.9103
66,Vaclav,McCanny,vmccanny1t@4shared.com,5534.87,2262.84,2772.73,2871.81,305.36,0.1951,0.2985
67,Shaylah,Peirazzi,speirazzi1u@csmonitor.com,1189.66,2389.37,2489.53,2651.45,1618.95,0.6944,0.7648
68,Starlin,Terram,sterram1v@liveinternet.ru,1302.3,4403.08,,208.69,1609.35,0.6184,0.2294
69,Ethelbert,Nichol,enichol1w@google.co.jp,8495.65,4816.82,3950.37,597.4,280.45,0.7568,0.3097
70,Morty,Fridd,mfridd1x@vinaora.com,6796.29,4434.87,130.75,2674.93,1195.83,0.8603,0.455
71,Gene,Pieterick,gpieterick1y@nhs.uk,4982.61,4812.14,3179.25,374.17,380.38,0.5818,0.722
72,Fredia,Atyeo,fatyeo1z@china.com.cn,4545.55,4593.11,784.0,2794.9,1141.44,0.6186,0.8945
73,Rhody,Rivel,rrivel20@wufoo.com,11150.49,4593.5,3526.82,1593.92,113.27,0.9066,0.3284
74,Gilberta,Eastman,geastman21@washington.edu,7284.69,1687.15,1757.25,171.21,914.59,0.3037,0.2495
75,Neilla,France,nfrance22@fda.gov,4251.61,4778.14,1263.18,2360.94,1110.65,0.6538,0.8274
76,Marketa,De Normanville,mdenormanville23@istockphoto.com,11320.54,4055.97,734.19,1625.26,1530.13,0.9324,0.8173
77,Gerick,Martijn,gmartijn24@fema.gov,2288.81,4323.15,521.62,1504.1,654.79,0.0056,0.4481
78,Hartwell,Rabbitts,hrabbitts25@livejournal.com,11952.58,188.14,2276.76,677.24,248.64,0.403,0.0927
79,Sibeal,Buswell,sbuswell26@clickbank.net,6627.75,4182.59,82.55,1877.49,1488.81,0.5158,0.9647
80,Alaric,Springford,aspringford27@yahoo.com,3795.2,318.07,1766.08,466.85,1240.27,0.5219,0.511
81,Axel,Petrowsky,apetrowsky28@jugem.jp,8257.01,428.67,2545.3,2391.68,1268.63,0.1003,0.1557
82,Desirae,De Giorgi,ddegiorgi29@nytimes.com,9126.92,2108.5,624.49,1867.77,1805.88,0.1442,0.248
83,Tobe,Lukes,tlukes2a@chicagotribune.com,7723.24,2520.5,1671.4,2780.75,268.57,0.4416,0.6159
84,Clary,Blacklawe,cblacklawe2b@unesco.org,11473.62,,1961.08,859.63,,0.068,0.1673
85,Emmanuel,MacCafferky,emaccafferky2c@aol.com,3545.49,4449.0,1439.36,264.4,1948.26,0.3173,0.7379
86,Talyah,Fulleylove,tfulleylove2d@mashable.com,2378.02,2145.86,,418.08,660.69,0.9929,0.8125
87,Chloe,Vedmore,cvedmore2e@smugmug.com,5292.62,696.27,1082.85,2452.93,1639.76,0.5594,0.1257
88,Maddalena,Kinkade,mkinkade2f@soup.io,1754.84,3494.68,1690.68,232.83,142.05,0.7251,0.1321
89,Wileen,Aukland,waukland2g@stanford.edu,3011.26,4512.79,2605.96,899.78,820.63,0.4494,0.2212
90,Willy,Simoncini,wsimoncini2h@cnet.com,11414.7,2881.15,1179.14,1030.7,1107.26,0.0039,0.7168
91,Theodor,Sloey,tsloey2i@jiathis.com,,334.6,344.21,230.87,353.84,0.3426,0.4057
92,Shayne,Jordi,sjordi2j@friendfeed.com,944.74,3597.64,3128.08,319.51,1003.88,0.8405,0.8533
93,Javier,Schwanden,jschwanden2k@bandcamp.com,4242.16,4604.69,1935.66,933.21,970.43,0.2893,0.2379
94,Goldi,Jersch,gjersch2l@time.com,1289.59,4572.86,2634.71,1667.19,1856.3,0.0003,0.7301
95,Mona,Tatchell,mtatchell2m@wp.com,1870.93,71.82,3027.44,205.46,1915.94,0.5271,0.4638
96,Alric,Sebley,asebley2n@typepad.com,10572.64,2277.94,1214.17,1478.42,1648.86,0.0769,0.0492
97,Vern,Theriot,vtheriot2o@oakley.com,2437.84,1723.12,3501.21,1895.38,1883.15,0.7124,0.095
98,Megen,MacPherson,mmacpherson2p@pen.io,8249.47,4867.12,1557.68,2142.15,891.73,,0.7579
99,Tanya,Sodor,tsodor2q@meetup.com,11309.38,1808.52,1608.76,29.95,109.38,0.5497,0.7457
100,Thomasina,Casado,tcasado2r@google.ru,1539.41,3780.79,3808.55,2401.31,288.89,0.9782,0.5726
101,Georgena,Whitehead,gwhitehead2s@nifty.com,7453.51,4455.3,2193.99,230.22,410.76,0.8204,0.9477
102,Kele,Laffoley-Lane,klaffoleylane2t@vkontakte.ru,283.76,2213.42,55.93,2290.33,1396.09,0.0665,0.3628
103,Nicolas,Bellini,nbellini2u@aboutads.info,9942.66,4081.07,2589.35,537.04,316.9,0.2003,0.7893
104,Dermot,Lynn,dlynn2v@bandcamp.com,6831.08,4309.85,2447.71,2791.86,985.81,0.1882,0.6503
105,Anderson,Abbati,aabbati2w@technorati.com,7697.1,1355.71,3374.51,1248.96,1768.76,0.2438,0.4438
106,Raviv,Stilly,rstilly2x@bloomberg.com,4929.72,273.37,,1618.33,1775.51,0.6092,0.9325
107,Damien,Braund,dbraund2y@yolasite.com,7105.4,1857.76,3076.8,1251.5,996.76,0.649,0.3055
108,Tamiko,Lamden,tlamden2z@myspace.com,8627.75,1660.96,,597.97,1068.08,0.8297,0.7978
109,Janessa,Vosse,jvosse30@1688.com,164.6,2042.02,653.36,1704.32,1202.01,0.758,0.1709
110,Lothario,BoHlingolsen,lbohlingolsen31@free.fr,5339.34,2801.93,1856.55,722.22,1700.67,0.7334,0.2584
111,Tiffany,Skala,tskala32@pagesperso-orange.fr,2082.74,2364.93,2463.51,1448.42,1749.33,0.0434,0.4351
112,Garrik,Thorald,gthorald33@geocities.com,10913.5,375.33,3976.46,447.38,1887.46,0.4673,0.0978
113,Eberhard,Entwisle,eentwisle34@unesco.org,1769.27,1334.55,309.12,1310.61,1312.02,0.9786,0.5395
114,Jocelyn,Knellen,jknellen35@purevolume.com,7040.1,2978.71,3975.9,2630.73,986.53,0.8396,0.8944
115,Bevan,Demangel,bdemangel36@phpbb.com,1176.62,4369.01,3263.42,1926.15,1355.36,0.3708,0.3692
116,Griselda,Griffith,ggriffith37@boston.com,2717.17,3526.91,1152.0,2347.16,920.71,0.9319,0.1755
117,Gwenora,Mitie,gmitie38@amazon.de,9659.74,2542.85,2460.1,1125.73,1317.05,0.3282,0.9261
118,Dedra,Batsford,dbatsford39@bbb.org,8744.24,3109.6,1771.42,2064.51,1008.31,0.8301,0.3908
119,Gare,Ilyinski,gilyinski3a@hhs.gov,7632.23,683.37,1864.08,902.71,371.9,0.954,0.0973
120,Ginnie,Shenton,gshenton3b@clickbank.net,3999.2,,678.39,2370.91,,0.3585,0.1353
121,Dee,Seagood,dseagood3c@dell.com,5066.47,4358.24,,1485.44,1466.71,0.0111,0.8778
122,Gregory,Comerford,gcomerford3d@ycombinator.com,2706.97,2463.98,2803.6,1803.59,889.9,0.4394,0.5581
123,Millie,Denyakin,mdenyakin3e@jugem.jp,4674.65,3819.85,1191.44,709.64,1178.69,0.9083,0.7733
124,Jeniffer,Blofeld,jblofeld3f@ask.com,10892.23,818.31,1000.64,2915.54,539.33,0.8592,0.8986
125,Fritz,Varney,fvarney3g@comsenz.com,747.64,,2370.51,2059.33,,0.4235,0.342
126,Leesa,Pechard,lpechard3h@ucoz.ru,4716.42,600.12,1636.61,601.46,716.85,0.7456,0.994
127,Ailina,Gadsdon,agadsdon3i@vistaprint.com,2967.42,655.01,1045.56,804.98,421.72,0.0372,0.1865
128,Andy,Roelofs,aroelofs3j@newyorker.com,7818.95,2175.64,540.1,2299.76,493.15,0.5372,0.2935
129,Booth,Stickings,bstickings3k@irs.gov,9628.28,2604.92,3045.11,2435.06,884.98,0.78,0.2465
130,Terrie,Renvoys,trenvoys3l@indiatimes.com,3434.64,,2729.86,2782.38,,0.1687,0.0134
131,Dannye,Hannam,dhannam3m@sogou.com,8245.31,2499.75,957.77,1665.74,527.06,0.2479,0.6914
132,Vanya,Roback,vroback3n@simplemachines.org,10849.36,,1545.69,2824.36,,,0.9981
133,Abdel,Graalman,agraalman3o@vinaora.com,3716.44,2302.01,2982.71,999.14,782.37,0.6935,0.5557
134,Jena,Lowndsbrough,jlowndsbrough3p@rakuten.co.jp,11601.84,3234.64,,1631.59,616.91,0.2825,0.1365
135,Fabe,Adlington,fadlington3q@europa.eu,4341.95,4701.88,1320.81,1107.27,1568.54,0.9641,0.7397
136,Kailey,Inchbald,kinchbald3r@cnn.com,8606.98,,2613.51,2134.67,,0.639,0.8071
137,Christean,Snashall,csnashall3s@tumblr.com,11625.09,4574.14,2706.58,421.23,125.85,0.6626,0.5542
138,Hazel,Simkiss,hsimkiss3t@unesco.org,5887.88,2397.03,877.98,2732.7,1891.31,,0.8551
139,Winne,Maudsley,wmaudsley3u@dot.gov,10427.14,3210.94,1742.81,2843.83,1640.55,0.415,0.9287
140,Calli,Siddele,csiddele3v@nydailynews.com,8229.3,3303.86,546.99,1296.04,1744.97,0.9733,0.8292
141,Charley,Turmall,cturmall3w@networksolutions.com,2855.6,,1452.77,567.0,,0.3825,0.8126
142,Atlanta,Gowan,agowan3x@house.gov,1555.26,2058.77,1681.12,1363.33,1904.37,0.5485,0.7365
143,Gabriell,MacCurtain,gmaccurtain3y@ameblo.jp,7672.94,2165.36,3018.23,761.13,728.1,0.1089,0.5162
144,Goldi,Muris,gmuris3z@naver.com,7595.72,2854.0,291.93,1921.22,1463.58,0.2319,0.8513
145,Elberta,Carey,ecarey40@slate.com,10400.24,3980.41,2928.24,650.2,86.37,0.5736,0.9922
146,Johnath,Hourihane,jhourihane41@wikispaces.com,3119.79,3312.18,962.05,1976.25,525.33,0.71,0.5016
147,Ardenia,Spiring,aspiring42@epa.gov,10988.34,3444.74,371.01,713.25,1769.98,0.5245,0.7103
148,Sena,Coppen,scoppen43@washington.edu,6678.76,713.87,2689.86,393.23,1485.05,0.3568,0.2413
149,Merrili,Becker,mbecker44@berkeley.edu,2925.24,4325.62,1934.81,2752.52,861.15,0.8235,0.3078
150,Blanche,Safont,bsafont45@ow.ly,8798.22,2845.03,1207.62,980.23,250.58,,0.2009
151,Cameron,Ortet,cortet46@timesonline.co.uk,5718.9,3747.55,1106.29,1882.53,587.55,0.6429,0.7616
152,Emmit,Thorp,ethorp47@nba.com,5092.55,4408.71,2698.87,697.38,803.93,0.8621,0.7052
153,Beret,Currier,bcurrier48@surveymonkey.com,6241.73,2785.4,183.36,2828.78,1441.38,0.1055,0.0191
154,Nelia,Baumler,nbaumler49@addtoany.com,3862.36,837.95,563.95,1411.44,448.16,0.1208,0.0847
155,Kalila,Munkley,kmunkley4a@moonfruit.com,3885.96,4514.54,2056.03,927.17,946.97,0.0331,0.0837
156,Katinka,Pods,kpods4b@nifty.com,8236.25,,3317.16,1652.72,,,0.3892
157,Anne,Webby,awebby4c@time.com,4842.05,772.9,2234.24,1764.14,414.66,0.4396,0.2428
158,Albie,Nassi,anassi4d@mail.ru,10745.07,,849.67,1918.25,,,0.2339
159,Jedidiah,Yakovliv,jyakovliv4e@opera.com,10146.1,3185.1,2344.26,114.46,790.29,0.082,0.6167
160,Gretel,Vonasek,gvonasek4f@state.tx.us,9987.07,1357.8,1192.47,669.72,1814.7,0.5685,0.5333
161,Wylma,Smitheram,wsmitheram4g@jimdo.com,5302.56,2954.25,308.98,2027.96,30.12,0.8398,0.2912
162,Irving,Cluff,icluff4h@nytimes.com,7920.26,4220.65,134.34,193.03,389.4,0.4738,0.8308
163,Marin,Castane,mcastane4i@ustream.tv,1776.54,3713.97,,1002.39,1894.6,0.9267,0.2228
164,Marne,Chrippes,mchrippes4j@google.com.br,5617.46,3487.26,3220.3,2853.31,220.98,0.7861,0.5296
165,Dietrich,O'Duggan,doduggan4k@ameblo.jp,7462.31,606.42,247.33,1166.05,1329.37,0.0855,0.6378
166,Nanice,Stockford,nstockford4l@bizjournals.com,967.99,3026.23,132.14,1454.26,1270.73,0.3233,0.5963
167,Tarrah,Varney,tvarney4m@github.io,8440.44,2332.78,3182.12,1261.24,495.59,0.2137,0.228
168,Wynnie,Brack,wbrack4n@japanpost.jp,10206.61,1335.97,1516.41,391.11,998.43,0.3807,0.8316
169,Ebonee,Sheen,esheen4o@stumbleupon.com,11197.2,3727.23,24.0,666.25,1295.66,0.3327,0.2341
170,Arda,Alexsandrev,aalexsandrev4p@xing.com,10529.54,2167.93,691.58,1929.75,12.25,0.7425,0.4081
171,Alaster,Jeschner,ajeschner4q@unesco.org,10467.15,2532.0,75.01,1161.91,720.26,0.6787,0.1396
172,Christoph,Worboys,cworboys4r@mlb.com,334.75,2414.37,2501.63,1159.64,1252.34,0.2148,0.0177
173,Arlina,FitzGilbert,afitzgilbert4s@surveymonkey.com,3556.83,1618.06,1069.13,1440.48,168.85,,0.3625
174,Rutledge,Ebbett,rebbett4t@deviantart.com,287.44,4727.34,3832.06,1677.69,553.88,,0.9928
175,Moyra,Lyver,mlyver4u@odnoklassniki.ru,8349.39,418.75,1341.97,2247.09,632.42,0.7716,0.9595
176,Codi,Harlett,charlett4v@privacy.gov.au,8771.67,2928.65,2757.29,1213.41,1086.44,0.2893,0.0635
177,Milzie,Mahy,mmahy4w@bizjournals.com,641.74,919.21,438.37,2655.23,1470.74,0.4503,0.3613
178,Farleigh,Anthes,fanthes4x@google.it,11226.45,427.11,1149.3,2039.87,1771.66,0.4132,0.3232
179,Gaye,Boocock,gboocock4y@deviantart.com,11990.53,4084.73,276.15,1490.02,29.72,0.7953,0.1824
180,Rufe,Tommen,rtommen4z@canalblog.com,2431.65,2724.86,585.3,2242.86,41.09,0.4236,0.8504
181,Dre,McCathie,dmccathie50@sciencedaily.com,9479.43,879.28,3280.9,1547.27,1233.29,0.0304,0.1091
182,Sandro,Farlam,sfarlam51@lycos.com,2316.94,4747.54,14.0,102.78,797.97,0.9814,0.3247
183,Merline,Busst,mbusst52@squarespace.com,2980.8,1493.78,3211.65,1830.23,211.79,0.9512,0.7961
184,Nerissa,Creeboe,ncreeboe53@devhub.com,6497.4,1557.9,1255.85,1827.92,1845.61,0.9163,0.3634
185,Lucila,Chatband,lchatband54@yellowbook.com,9324.07,4065.77,3921.28,52.89,1715.71,0.1376,0.0271
186,Kati,Nelligan,knelligan55@i2i.jp,2059.99,4731.29,2651.63,,49.06,0.3024,
187,Henrik,Songer,hsonger56@mapy.cz,544.21,3786.74,1192.17,191.04,1001.76,0.1942,0.0035
188,Junie,Acedo,jacedo57@vistaprint.com,9604.23,2163.52,3372.14,2837.68,1128.24,0.311,0.7964
189,Hildegaard,Feacham,hfeacham58@hud.gov,5732.41,4692.51,281.39,,1294.08,0.3054,
190,Johannah,Leppard,jleppard59@bandcamp.com,7216.09,4672.54,1522.36,824.46,664.85,0.3035,0.6544
191,Corella,Tulleth,ctulleth5a@umn.edu,11551.48,2288.11,1666.97,375.04,1889.02,0.1559,0.5225
192,Deina,Bolingbroke,dbolingbroke5b@intel.com,11196.66,4848.49,1943.62,2491.47,1916.65,0.0891,0.1429
193,Row,Turmell,rturmell5c@state.tx.us,6810.02,2987.36,3444.07,717.84,177.93,0.4349,0.1578
194,Sinclair,Ridel,sridel5d@t-online.de,4799.39,1439.3,2895.95,210.44,391.85,0.6734,0.6968
195,Gerri,Davydychev,gdavydychev5e@nature.com,5082.21,539.66,726.79,1451.92,574.18,0.5989,0.4878
196,Granthem,Arkle,garkle5f@addthis.com,242.71,2057.8,2960.2,2428.14,225.72,0.4634,0.9001
197,Valentia,Swainger,vswainger5g@merriam-webster.com,955.37,1269.01,790.39,2774.36,1927.05,0.1906,0.2172
198,Fair,Norrey,fnorrey5h@istockphoto.com,10889.89,3102.78,184.11,54.6,1302.15,0.4242,0.679
199,Alleen,Spearett,aspearett5i@discuz.net,9086.18,4123.18,1023.96,1819.79,984.92,0.8174,0.0694
200,Toby,Lapthorne,tlapthorne5j@nhs.uk,383.64,2941.97,429.87,2000.52,556.27,0.7415,0.7902
201,Engelbert,Annetts,eannetts5k@google.ca,9104.17,3173.7,238.98,1097.66,93.61,0.0797,0.5048
202,Letta,Randal,lrandal5l@alibaba.com,10580.98,2009.12,3059.29,2245.87,1829.98,0.2857,0.0932
203,Liane,Phidgin,lphidgin5m@jalbum.net,7027.88,2165.67,3453.26,2721.87,1015.04,0.4885,0.2445
204,Odette,Rubroe,orubroe5n@vimeo.com,5405.06,515.2,,863.09,837.73,0.4512,0.632
205,Darbie,Carlson,dcarlson5o@bbb.org,873.13,930.88,,2910.79,503.81,0.587,0.0965
206,Dyan,Knowlson,dknowlson5p@nyu.edu,2018.81,4489.31,1585.57,1831.97,967.31,0.5188,0.774
207,Giorgi,Jacquemet,gjacquemet5q@youtube.com,5868.03,81.84,,2863.98,1930.06,0.3361,0.6891
208,Lazar,Cozby,lcozby5r@theglobeandmail.com,3701.17,3944.77,655.47,1722.75,274.27,0.0484,0.6342
209,Trula,Pigeon,tpigeon5s@meetup.com,601.85,92.61,387.62,2129.06,378.03,0.0767,0.5034
210,Sharai,Meiklem,smeiklem5t@house.gov,4341.84,2103.25,1084.55,162.94,1016.49,0.925,0.1025
211,Gibbie,Meininger,gmeininger5u@tinypic.com,2272.11,35.96,833.68,2261.51,843.67,0.949,0.6273
212,Zerk,Sommerville,zsommerville5v@storify.com,11359.47,3256.13,2367.03,545.0,379.23,0.1703,0.1101
213,Stuart,Theobald,stheobald5w@trellian.com,10769.07,2496.27,826.24,1945.05,1297.21,0.1409,0.0894
214,Amory,Stranger,astranger5x@freewebs.com,6752.48,3198.78,3755.42,1140.46,311.5,0.8302,0.046
215,Siobhan,Redferne,sredferne5y@timesonline.co.uk,8283.76,4967.24,1122.4,2010.69,1113.69,0.0001,0.593
216,Sapphira,Springle,sspringle5z@hostgator.com,761.37,762.92,,2739.75,1609.48,0.1171,0.2152
217,Honoria,Landers,hlanders60@dmoz.org,,1617.72,1330.42,1366.95,23.12,0.6602,0.0342
218,Charil,Keogh,ckeogh61@tinypic.com,11990.9,3009.49,1255.07,502.06,1987.43,0.3327,0.6178
219,Britt,Pursey,bpursey62@ezinearticles.com,2799.09,3771.76,302.88,1060.97,1395.1,0.4784,0.917
220,Malchy,Crix,mcrix63@wix.com,2273.21,3263.09,2231.08,1836.68,1159.28,0.5999,0.8089
221,Christye,Ert,cert64@europa.eu,3273.53,,2972.76,1441.71,,0.588,0.9762
222,Jefferson,Joderli,jjoderli65@washingtonpost.com,2505.97,807.91,1628.51,445.44,1562.28,0.0338,0.9454
223,Ewan,Lamberteschi,elamberteschi66@statcounter.com,7760.96,981.25,165.66,527.69,623.71,0.217,0.5463
224,Tommie,Gorsse,tgorsse67@sina.com.cn,5052.46,2129.6,3667.85,1634.56,1184.81,0.9412,0.8325
225,Phillip,Gleed,pgleed68@amazon.com,11270.36,3684.13,552.78,1649.66,1252.9,0.8649,0.777
226,Aubert,Billingham,abillingham69@newyorker.com,9370.98,4524.05,2628.09,1180.96,1533.66,0.9742,0.4552
227,Dorolisa,Queripel,dqueripel6a@printfriendly.com,9928.13,3840.25,1835.41,878.51,155.8,0.2301,0.9336
228,Romeo,Monteath,rmonteath6b@com.com,557.57,131.85,2629.85,102.88,1515.38,0.5096,0.0325
229,Blinny,Fontes,bfontes6c@indiatimes.com,2697.62,,1773.38,2838.14,,,0.7735
230,Chrissy,Somes,csomes6d@japanpost.jp,10332.04,657.54,1916.33,,988.65,0.7161,
231,Robers,Budnk,rbudnk6e@china.com.cn,1666.6,2561.84,430.62,786.7,476.99,0.5097,0.8626
232,Asher,Exter,aexter6f@dion.ne.jp,9814.52,130.56,2741.67,1384.21,1164.59,0.9743,0.2332
233,Willa,Coe,wcoe6g@chronoengine.com,5224.3,1.34,447.33,,331.09,0.8616,
234,Wendie,Farens,wfarens6h@redcross.org,2603.61,4993.01,167.29,1565.07,996.07,0.65,0.5373
235,Even,Monery,emonery6i@tamu.edu,2879.0,4818.76,350.72,1959.36,1132.54,0.042,0.461
236,Elizabeth,Ibbott,eibbott6j@spiegel.de,1079.97,2539.91,1304.8,,366.52,0.7843,
237,Dean,Vallis,dvallis6k@theglobeandmail.com,3130.9,1406.35,1033.93,1371.71,152.07,0.9971,0.4494
